公交线路,站点
北京58路公交车路线 四惠枢纽站—故宫,"四惠枢纽站,八王坟西,郎家园,大北窑西,永安里路口西,日坛路,雅宝路,朝阳门内,朝内小街,东四路口东,美术馆东,沙滩路口西,景山东门,景山东街,景山后街,西板桥,故宫"
北京59路公交车路线 菜户营桥—前门,"菜户营桥,大观园,右安门西,右安门内,南樱桃园路口东,半步桥,自新路口东,陶然亭公园北门,太平街,北纬路,友谊医院西,友谊医院东,珠市口南,大栅栏,前门"
北京60路公交车路线 龙潭公园—黄寺总政大院,"龙潭公园,北京体育馆,北京体育馆西,法华寺,磁器口北,崇文门西,正义路南口,南河沿,锡拉胡同,北京妇产医院,沙滩路口北,亮果厂,东黄城根北口,锣鼓巷,地安门东,鼓楼,鼓楼桥南,六铺炕,黄寺总政大院"
北京61路公交车路线 阜成门内—天香颐北里,"阜成门内,阜成门,阜成门外,展览路,阜外西口,甘家口东,白堆子口东,首体南路南口,四道口南,外文印刷厂,老虎庙,花园桥东,首都师范大学北门,慈寿寺桥,地铁慈寿寺站,恩济里小区北,地铁海淀五路居站,五路桥,营慧寺,四季青桥南,四季青桥西,佟家坟,海淀区残联,四季香山小区,天香颐中里,天香颐北里"
北京62路公交车路线 田村半壁店东—马家堡路北口,"田村半壁店东,五孔桥,定慧桥北,定慧桥南,定慧寺东,西钓鱼台,航天桥西,航天桥南,公主坟北,公主坟南,北京西站,小马厂,天宁寺桥西,广安门北,广安门南,椿树馆街,白纸坊桥南,菜户营桥北,大观园,右安门西,开阳桥西,陶然亭公园南门,陶然桥东,永定门东,天坛南门,李村,定安路,赵公口桥西,木樨园桥东,木樨园桥西,洋桥南,角门北路东口,马家堡路北口"
北京64路公交车路线 青塔小区—公主坟西,"青塔小区,大成里,青塔蔚园,青塔北口,新园村,北太平路口南,永定路口南,永定路口东,五棵松桥西,沙沟路口东,东翠路口,万寿路口西,翠微路口,公主坟西"
北京65路公交车路线 动物园枢纽站—北京西站,"动物园枢纽站,北京展览馆,二里沟东口,百万庄东口,展览路口北,月坛北街北站,月坛南街北站,三里河东口,西城三里河,木樨地北,木樨地西,茂林居,玉渊潭南门,军事博物馆,会城门,北蜂窝路,北蜂窝路南口,北京西站"
北京66路公交车路线 城南嘉园北—前门,"城南嘉园北,嘉园三里,嘉园三里北,嘉园二里西门,嘉园一里,马家堡小区,角门北路,角门北路东口,马家堡东口,洋桥北,四路通,陶然桥北,太平街,虎坊路,虎坊桥路口南,琉璃厂,和平门东,北京供电局,前门"
北京67路公交车路线 樊家村公交场站—前门西,"樊家村公交场站,万芳园二区,地铁首经贸站,万芳园一区,纪家庙,夏家胡同,丰益桥北,丽泽桥,西局,六里桥南,六里桥北里,北京西站,长椿街路口东,宣武门东,和平门东,前门西"
北京68路公交车路线 马官营西—厂桥路口西,"马官营西,莲宝路口东,莲宝路口北,金家村桥北,万寿路口东,翠微路口,公主坟西,公主坟东,军事博物馆,木樨地西,木樨地北,西城三里河,三里河东口,二七剧场路北口,儿童医院路口西,辟才胡同西口,辟才胡同东口,灵境胡同,西黄城根南街,西黄城根,北京三十九中学,厂桥路口西"
北京70路公交车路线 角门南站—西单路口东,"角门南站,西马小区,西马厂,西马厂北口,马家堡东口,洋桥北,四路通,陶然桥北,太平街,虎坊路,虎坊桥路口西,果子巷,菜市口北,宣武门外,西单路口南,西单路口东"
北京71路公交车路线 肖村桥西—天坛西门,"肖村桥西,红寺村,双庙东,双庙,双庙西,光彩批发市场,光彩路南口,南顶路西口,南顶村,海慧寺,海户屯,木樨园桥北,沙子口,永定门内,先农坛,天坛西门"
北京72路公交车路线 城南嘉园北—大北窑南,"城南嘉园北,嘉园三里,嘉园三里北,嘉园二里南门,嘉园二里东门,马家堡小区,角门北路,角门北路东口,洋桥东,木樨园桥西,木樨园桥北,沙子口,永定门内,先农坛,天桥,金鱼池,天坛北门,红桥路口西,法华寺,北京体育馆西,北京体育馆,光明楼,光明桥东,劲松中街,劲松桥北,双井桥南,双井桥北,大北窑南"
北京73路公交车路线 地铁海淀五路居站—阜成门,"地铁海淀五路居站,恩济里小区北,地铁慈寿寺站,慈寿寺桥,七贤村路口南,岭南路西口,岭南路,航天桥北(南行),航天桥北(北行),增光路西口,增光路,增光路东口,百万庄西口,百万庄中街,百万庄东口,马尾沟,阜成门"
北京74路公交车路线 柳村—颐和园新建宫门,"柳村,菜户营桥西,中国戏曲学院,三路居,北京西站南路南口,东局,华源三里,太平桥东里,莲花池,六里桥东,六里桥北里,公主坟南,航天桥,花园桥北,紫竹桥,万寿寺,为公桥,苏州桥南,万泉庄,万泉河路,稻香园,地铁巴沟站,巴沟村西口,六郎庄西口,颐和园新建宫门"
北京75路公交车路线 康家沟—和平东桥,"康家沟,青年路南口,甘露园,青年路口,十里堡北里,八里庄南里,红领巾公园,延静里,金台路口东,水碓子,呼家楼北街,东大桥东站,东大桥,东大桥路口西,神路街,朝阳门外,东四十条桥南,东直门北,雍和宫桥东,地坛西门,蒋宅口,小黄庄,青年沟西口,和平里西街,和平西桥南,和平东桥"
北京76路公交车路线 广安门—张仪村公交场站,"广安门,广安门内,广外关厢,达官营,广外甘石桥,湾子,莲花池,六里桥东,六里桥北,公主坟南,公主坟西,翠微路口,万寿路口西,东翠路口,沙沟路口西,五棵松桥东,永定路口东,玉泉路口东,八宝山,地铁八宝山站,鲁谷西站,焦家坟路口东,焦家坟路口南,吴庄,吴庄南,张仪村北站,张仪村,张仪村西站,张仪村公交场站"
